"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"118" 18 2 1 6 "frame001671_0.jpg" 1321535591.98794 "2011111713:13:11.987" 1.76589 32.0869 318.896 6505.3997 2245.4746 1.10962 -1.33484 1.344 0 0.564819 25.9161 1 0.0105028 90 80 1.8
"119" 19 2 1 3 "frame001847_0.jpg" 1321535673.13815 "2011111713:14:33.138" 1.89718 30.8474 320.603 6505.4403 2245.5723 0.933838 -2.09839 1.271 0 0.874512 25.9161 1 0.0105028 90 80 1.9
"120" 20 2 1 1 "frame002123_0.jpg" 1321535800.86212 "2011111713:16:40.862" 1.87113 28.0963 321.211 6505.5036 2245.724 0.571289 -3.2135 1.291 0 1.01495 25.9161 1 0.0105028 90 80 1.9
"121" 21 2 1 1 "frame002041_0.jpg" 1321535762.98821 "2011111713:16:02.988" 2.12753 29.2209 321.514 6505.4849 2245.6793 -2.30713 -1.89514 1.295 0 0.658203 25.9161 1 0.0105028 90 80 2.1
"122" 22 2 1 8 "frame001735_0.jpg" 1321535621.16378 "2011111713:13:41.163" 1.94545 31.1678 318.747 6505.4145 2245.5101 -0.411987 -1.59851 1.304 0 0.681824 25.9161 1 0.0105028 90 80 1.9
"123" 23 2 1 5 "frame002045_0.jpg" 1321535764.66824 "2011111713:16:04.668" 2.11636 29.2494 320.964 6505.4857 2245.6812 -0.823975 -1.46667 1.285 0 0.727966 25.9161 1 0.0105028 90 80 2.1
"124" 24 2 1 0 "frame001684_0.jpg" 1321535597.91818 "2011111713:13:17.918" 1.95347 31.705 318.489 6505.403 2245.4823 0.53833 -2.64771 1.32 0 0.798767 25.9161 1 0.0105028 90 80 2
"125" 25 2 1 0 "frame001876_0.jpg" 1321535687.02801 "2011111713:14:47.028" 1.78245 30.0393 320.872 6505.4467 2245.5877 1.07117 -2.19727 1.285 0 1.03345 25.9161 1 0.0105028 90 80 1.8
"126" 1 2 2 0 "frame002189_0.jpg" 1321535899.15811 "2011111713:18:19.158" 2.24084 29.079 128.907 6505.5017 2245.6274 -2.14783 -0.780029 1.296 0 0.528809 25.9161 1 0.0105028 90 80 2.2
"127" 2 2 2 3 "frame002207_0.jpg" 1321535907.7582 "2011111713:18:27.758" 2.19169 29.1891 129.523 6505.4974 2245.6172 -2.26318 -2.53235 1.286 0 0.559692 25.9161 1 0.0105028 90 80 2.2
"128" 3 2 2 2 "frame002215_0.jpg" 1321535911.57818 "2011111713:18:31.578" 2.1736 29.2233 129.599 6505.4955 2245.6128 -3.1366 -2.69714 1.327 0 0.64386 25.9161 1 0.0105028 90 80 2.2
"129" 4 2 2 3 "frame002223_0.jpg" 1321535914.99808 "2011111713:18:34.998" 2.09669 29.2303 129.517 6505.4938 2245.6087 -2.27417 -2.45544 1.297 0 0.695801 25.9161 1 0.0105028 90 80 2.1
"130" 5 2 2 3 "frame002231_0.jpg" 1321535918.81802 "2011111713:18:38.818" 2.08514 29.1729 129.731 6505.492 2245.6042 -1.7688 -2.88391 1.301 0 0.672424 25.9161 1 0.0105028 90 80 2.1
"131" 6 2 2 4 "frame002239_0.jpg" 1321535922.6581 "2011111713:18:42.658" 2.05804 29.1642 129.363 6505.49 2245.5997 -1.30188 -3.24097 1.3 0 0.798767 25.9161 1 0.0105028 90 80 2.1
"132" 7 2 2 5 "frame002247_0.jpg" 1321535926.41818 "2011111713:18:46.418" 1.97245 29.0345 129.21 6505.4883 2245.5955 -0.368042 -3.40576 1.319 0 0.714233 25.9161 1 0.0105028 90 80 2
"133" 8 2 2 0 "frame002255_0.jpg" 1321535929.80803 "2011111713:18:49.808" 2.00667 28.9014 129.017 6505.4865 2245.5912 -0.593262 -2.2467 1.287 0 0.807373 25.9161 1 0.0105028 90 80 2
"134" 9 2 2 8 "frame002263_0.jpg" 1321535933.57819 "2011111713:18:53.578" 1.96501 28.7921 129.254 6505.4846 2245.5867 0.137329 -1.57104 1.333 0 0.803101 25.9161 1 0.0105028 90 80 2
"135" 10 2 2 1 "frame002271_0.jpg" 1321535937.40805 "2011111713:18:57.408" 2.03618 28.655 129.391 6505.4826 2245.5821 -0.20874 -2.34009 1.315 0 0.686523 25.9161 1 0.0105028 90 80 2
"136" 11 2 2 6 "frame002279_0.jpg" 1321535941.20798 "2011111713:19:01.207" 2.06675 28.562 129.347 6505.481 2245.5782 -0.197754 -1.35681 1.276 0 0.639038 25.9161 1 0.0105028 90 80 2.1
"137" 12 2 2 7 "frame002287_0.jpg" 1321535944.59817 "2011111713:19:04.598" 2.09664 28.5203 129.446 6505.4791 2245.5737 -0.390015 -2.53235 1.266 0 0.594971 25.9161 1 0.0105028 90 80 2.1
"138" 13 2 2 3 "frame002295_0.jpg" 1321535948.42816 "2011111713:19:08.428" 2.10761 28.4824 129.43 6505.4772 2245.5692 -1.45569 -1.47217 1.287 0 0.64386 25.9161 1 0.0105028 90 80 2.1
"139" 14 2 2 7 "frame002303_0.jpg" 1321535952.24816 "2011111713:19:12.248" 2.1996 28.4487 129.314 6505.4753 2245.5648 -2.68616 -2.51587 1.304 0 0.662964 25.9161 1 0.0105028 90 80 2.2
"140" 15 2 2 3 "frame002311_0.jpg" 1321535956.01713 "2011111713:19:16.017" 2.20774 28.462 129.001 6505.4736 2245.5608 -2.66418 -3.01575 1.262 0 0.634216 25.9161 1 0.0105028 90 80 2.2
"141" 16 2 2 5 "frame002421_0.jpg" 1321536007.15815 "2011111713:20:07.158" 2.16716 30.9695 128.914 6505.4484 2245.501 -1.8512 -1.82922 1.277 0 0.475769 25.9161 1 0.0105028 90 80 2.2
"142" 17 2 2 0 "frame002429_0.jpg" 1321536010.56803 "2011111713:20:10.568" 2.23017 30.9883 128.925 6505.4467 2245.497 -1.71936 -1.73584 1.332 0 0.442932 25.9161 1 0.0105028 90 80 2.2
"143" 18 2 2 5 "frame002443_0.jpg" 1321536017.34819 "2011111713:20:17.348" 2.14689 31.1371 128.953 6505.4434 2245.489 -0.686646 -1.53259 1.276 0 0.459473 25.9161 1 0.0105028 90 80 2.1
"144" 19 2 2 1 "frame002451_0.jpg" 1321536020.74835 "2011111713:20:20.748" 2.1773 31.1611 128.777 6505.4416 2245.485 -1.04919 -0.955811 1.298 0 0.486511 25.9161 1 0.0105028 90 80 2.2
"145" 20 2 2 6 "frame002459_0.jpg" 1321536024.53825 "2011111713:20:24.538" 2.09472 31.1818 129.167 6505.4398 2245.4805 -1.45569 -1.16455 1.274 0 0.579956 25.9161 1 0.0105028 90 80 2.1
"146" 21 2 2 4 "frame002467_0.jpg" 1321536028.32825 "2011111713:20:28.328" 2.11465 31.124 129.563 6505.438 2245.4761 -0.675659 -1.4447 1.274 0 0.415039 25.9161 1 0.0105028 90 80 2.1
"147" 22 2 2 3 "frame002475_0.jpg" 1321536032.14812 "2011111713:20:32.148" 2.18308 31.0936 129.277 6505.4361 2245.4716 -2.44446 -2.12036 1.319 0 0.431885 25.9161 1 0.0105028 90 80 2.2
"148" 23 2 2 1 "frame002485_0.jpg" 1321536036.80829 "2011111713:20:36.808" 2.22491 31.1669 128.904 6505.4337 2245.4661 -1.98303 -3.27942 1.294 0 0.564819 25.9161 1 0.0105028 90 80 2.2
"149" 24 2 2 4 "frame002495_0.jpg" 1321536041.44813 "2011111713:20:41.448" 2.22306 31.1938 129.261 6505.4316 2245.461 -2.7356 -1.12061 1.311 0 0.398071 25.9161 1 0.0105028 90 80 2.2
"150" 25 2 2 1 "frame002670_0.jpg" 1321536122.93835 "2011111713:22:02.938" 2.16607 34.6202 130.092 6505.3917 2245.366 -0.955811 -3.02673 1.311 0 0.254272 25.9161 1 0.0105028 90 80 2.2
"151" 1 2 3 1 "frame003203_0.jpg" 1321536436.46818 "2011111713:27:16.468" 2.01799 28.7528 322.052 6505.5295 2245.6045 -0.00549316 -2.66968 1.275 0 0.776978 25.9161 1 0.0105028 90 80 2
"152" 2 2 3 4 "frame003031_0.jpg" 1321536356.36803 "2011111713:25:56.368" 1.75603 28.8124 321.922 6505.4905 2245.511 1.98303 -2.35107 1.291 0 1.00378 25.9161 1 0.0105028 90 80 1.8
"153" 3 2 3 2 "frame002763_0.jpg" 1321536231.68803 "2011111713:23:51.688" 1.75445 33.0115 318.534 6505.43 2245.3653 1.18103 -3.17505 1.331 0 1.112 25.9161 1 0.0105028 90 80 1.8
"154" 4 2 3 3 "frame003040_0.jpg" 1321536360.17812 "2011111713:26:00.178" 1.85419 28.4837 321.812 6505.4925 2245.5159 0.41748 -2.13135 1.262 0 1.04803 25.9161 1 0.0105028 90 80 1.9
"155" 5 2 3 1 "frame003212_0.jpg" 1321536440.30831 "2011111713:27:20.308" 1.96486 28.6634 322.107 6505.5314 2245.609 0.928345 -1.34033 1.249 0 0.785767 25.9161 1 0.0105028 90 80 2
"156" 6 2 3 1 "frame002859_0.jpg" 1321536276.54815 "2011111713:24:36.548" 2.09696 30.8578 321.192 6505.4518 2245.4182 0.0714111 -3.34534 1.241 0 0.464905 25.9161 1 0.0105028 90 80 2.1
"157" 7 2 3 1 "frame002783_0.jpg" 1321536241.368 "2011111713:24:01.367" 1.76825 32.0967 319.88 6505.4346 2245.3766 0.977783 -2.40601 1.299 0 1.13617 25.9161 1 0.0105028 90 80 1.8
"158" 8 2 3 1 "frame002815_0.jpg" 1321536256.1881 "2011111713:24:16.188" 2.04709 31.2593 321.819 6505.4416 2245.3938 -0.829468 -1.93909 1.283 0 0.584961 25.9161 1 0.0105028 90 80 2
"159" 9 2 3 1 "frame002926_0.jpg" 1321536307.45815 "2011111713:25:07.458" 2.17171 30.9667 322.252 6505.4667 2245.4541 -2.1698 -1.64246 1.287 0 0.574951 25.9161 1 0.0105028 90 80 2.2
"160" 10 2 3 2 "frame003223_0.jpg" 1321536445.35822 "2011111713:27:25.358" 1.98104 28.4521 322.81 6505.5338 2245.6149 -0.411987 -2.82349 1.274 0 0.918884 25.9161 1 0.0105028 90 80 2
"161" 11 2 3 2 "frame003061_0.jpg" 1321536370.10824 "2011111713:26:10.108" 2.14722 28.032 322.125 6505.4974 2245.5276 -2.7356 -2.80701 1.281 0 0.653442 25.9161 1 0.0105028 90 80 2.1
"162" 12 2 3 3 "frame002830_0.jpg" 1321536262.96804 "2011111713:24:22.968" 1.94411 31.0725 321.297 6505.4451 2245.4023 0.43396 -2.4884 1.251 0 0.544312 25.9161 1 0.0105028 90 80 1.9
"163" 13 2 3 1 "frame002850_0.jpg" 1321536272.29807 "2011111713:24:32.298" 2.13036 30.8906 321.851 6505.4497 2245.4132 -2.09839 -1.64795 1.277 0 0.662964 25.9161 1 0.0105028 90 80 2.1
"164" 14 2 3 1 "frame002797_0.jpg" 1321536247.71815 "2011111713:24:07.718" 1.80525 31.6322 321.594 6505.4377 2245.3844 0.818481 -1.08215 1.305 0 0.890808 25.9161 1 0.0105028 90 80 1.8
"165" 15 2 3 2 "frame002787_0.jpg" 1321536243.06812 "2011111713:24:03.068" 1.75722 31.979 320.407 6505.4355 2245.3789 2.40601 -1.95007 1.307 0 0.902893 25.9161 1 0.0105028 90 80 1.8
"166" 16 2 3 1 "frame002863_0.jpg" 1321536278.24806 "2011111713:24:38.248" 2.14529 30.8105 321.78 6505.4526 2245.4202 -2.72461 -1.42822 1.277 0 0.589966 25.9161 1 0.0105028 90 80 2.1
"167" 17 2 3 2 "frame002738_0.jpg" 1321536220.26147 "2011111713:23:40.261" 1.81874 33.9487 317.908 6505.4245 2245.3518 1.39526 -2.62024 1.225 0 0.629395 25.9161 1 0.0105028 90 80 1.8
"168" 18 2 3 5 "frame002833_0.jpg" 1321536264.24809 "2011111713:24:24.248" 1.94752 31.011 321.489 6505.4457 2245.4038 0.31311 -1.89514 1.253 0 0.5495 25.9161 1 0.0105028 90 80 1.9
"169" 19 2 3 0 "frame002729_0.jpg" 1321536216.43801 "2011111713:23:36.438" 1.85309 34.16 318.243 6505.4224 2245.3468 0.86792 -0.0604248 1.28 0 0.914917 25.9161 1 0.0105028 90 80 1.9
"170" 20 2 3 2 "frame002917_0.jpg" 1321536303.20821 "2011111713:25:03.208" 2.15399 30.9347 321.406 6505.4647 2245.4493 -1.23596 -1.8512 1.234 0 0.464905 25.9161 1 0.0105028 90 80 2.2
"171" 21 2 3 3 "frame002868_0.jpg" 1321536280.36806 "2011111713:24:40.368" 2.07045 30.8196 321.302 6505.4536 2245.4227 -0.252686 -2.08191 1.302 0 0.639038 25.9161 1 0.0105028 90 80 2.1
"172" 22 2 3 3 "frame003233_0.jpg" 1321536450.03825 "2011111713:27:30.038" 1.96596 28.2735 322.332 6505.5361 2245.6204 0.285645 -2.79602 1.301 0 0.750427 25.9161 1 0.0105028 90 80 2
"173" 23 2 3 9 "frame003218_0.jpg" 1321536443.2483 "2011111713:27:23.248" 1.9557 28.5395 322.228 6505.5328 2245.6124 0.615234 -2.18079 1.252 0 0.718811 25.9161 1 0.0105028 90 80 2
"174" 24 2 3 6 "frame003068_0.jpg" 1321536373.49812 "2011111713:26:13.498" 2.17769 28.0095 322.158 6505.499 2245.5315 -2.34009 -3.09265 1.294 0 0.502502 25.9161 1 0.0105028 90 80 2.2
"175" 25 2 3 0 "frame002803_0.jpg" 1321536250.25803 "2011111713:24:10.258" 1.91815 31.4744 321.396 6505.4389 2245.3874 0.324097 -0.357056 1.262 0 0.996277 25.9161 1 0.0105028 90 80 1.9
"176" 1 2 4 5 "frame003332_0.jpg" 1321536562.42803 "2011111713:29:22.428" 2.24796 29.0467 127.287 6505.5375 2245.5329 -2.50488 -1.46667 1.311 0 0.52356 25.9161 1 0.0105028 90 80 2.2
"177" 2 2 4 1 "frame003344_0.jpg" 1321536567.97808 "2011111713:29:27.978" 2.19533 29.1025 127.051 6505.5345 2245.5258 -2.52136 -2.70264 1.348 0 0.48114 25.9161 1 0.0105028 90 80 2.2
"178" 3 2 4 4 "frame003352_0.jpg" 1321536571.78798 "2011111713:29:31.787" 2.19576 29.1301 126.798 6505.5325 2245.5211 -2.29065 -2.04346 1.343 0 0.604858 25.9161 1 0.0105028 90 80 2.2
"179" 4 2 4 2 "frame003360_0.jpg" 1321536575.1881 "2011111713:29:35.188" 2.12806 29.1637 126.914 6505.5308 2245.517 -1.07666 -2.32361 1.334 0 0.662964 25.9161 1 0.0105028 90 80 2.1
"180" 5 2 4 5 "frame003368_0.jpg" 1321536578.96814 "2011111713:29:38.968" 2.07353 29.1288 127.079 6505.5288 2245.5124 -0.725098 -0.999756 1.344 0 0.723389 25.9161 1 0.0105028 90 80 2.1
"181" 6 2 4 1 "frame003376_0.jpg" 1321536582.78801 "2011111713:29:42.788" 1.97589 29.0832 127.337 6505.5269 2245.5078 -0.41748 -1.59851 1.338 0 0.763794 25.9161 1 0.0105028 90 80 2
"182" 7 2 4 3 "frame003384_0.jpg" 1321536586.56807 "2011111713:29:46.568" 2.0358 28.9549 127.095 6505.5249 2245.5031 -0.324097 -2.65869 1.34 0 0.798767 25.9161 1 0.0105028 90 80 2
"183" 8 2 4 8 "frame003392_0.jpg" 1321536589.93804 "2011111713:29:49.938" 1.99676 28.845 126.59 6505.5232 2245.499 -0.197754 -3.25195 1.314 0 0.772583 25.9161 1 0.0105028 90 80 2
"184" 9 2 4 2 "frame003400_0.jpg" 1321536593.76802 "2011111713:29:53.768" 2.0075 28.7219 126.92 6505.5212 2245.4943 -1.48315 -1.74683 1.365 0 0.700439 25.9161 1 0.0105028 90 80 2
"185" 10 2 4 4 "frame003408_0.jpg" 1321536597.5582 "2011111713:29:57.558" 1.99995 28.6034 127.238 6505.5192 2245.4897 0.0384521 -1.65894 1.3 0 0.639038 25.9161 1 0.0105028 90 80 2
"186" 11 2 4 4 "frame003416_0.jpg" 1321536601.36812 "2011111713:30:01.368" 2.0952 28.4796 127.194 6505.5175 2245.4856 -1.17554 -2.75757 1.351 0 0.64386 25.9161 1 0.0105028 90 80 2.1
"187" 12 2 4 3 "frame003424_0.jpg" 1321536604.73819 "2011111713:30:04.738" 2.17568 28.4481 127.068 6505.5156 2245.481 -1.59302 -2.70813 1.322 0 0.653442 25.9161 1 0.0105028 90 80 2.2
"188" 13 2 4 7 "frame003432_0.jpg" 1321536608.58806 "2011111713:30:08.588" 2.16532 28.4541 127.563 6505.5136 2245.4763 -2.05444 -2.85095 1.357 0 0.564819 25.9161 1 0.0105028 90 80 2.2
"189" 14 2 4 1 "frame003441_0.jpg" 1321536612.76816 "2011111713:30:12.768" 2.2413 28.4569 127.651 6505.5115 2245.4712 -3.35632 -3.22449 1.341 0 0.533997 25.9161 1 0.0105028 90 80 2.2
"190" 15 2 4 1 "frame003553_0.jpg" 1321536664.6182 "2011111713:31:04.618" 2.24463 30.8024 128.36 6505.4851 2245.4082 -2.35657 -1.53259 1.372 0 0.409424 25.9161 1 0.0105028 90 80 2.2
"191" 16 2 4 2 "frame003561_0.jpg" 1321536668.46819 "2011111713:31:08.468" 2.16782 30.8622 128.366 6505.4831 2245.4035 -1.94458 -1.00525 1.346 0 0.533997 25.9161 1 0.0105028 90 80 2.2
"192" 17 2 4 3 "frame003569_0.jpg" 1321536672.23821 "2011111713:31:12.238" 2.18232 30.9206 128.459 6505.4811 2245.3989 -2.04895 -3.38928 1.356 0 0.491882 25.9161 1 0.0105028 90 80 2.2
"193" 18 2 4 4 "frame003577_0.jpg" 1321536675.65836 "2011111713:31:15.658" 2.14614 30.9412 128.371 6505.4794 2245.3947 -1.95007 -1.08765 1.343 0 0.539185 25.9161 1 0.0105028 90 80 2.1
"194" 19 2 4 2 "frame003585_0.jpg" 1321536679.50802 "2011111713:31:19.508" 2.11483 30.9085 127.877 6505.4774 2245.39 -1.01074 -3.14758 1.376 0 0.513062 25.9161 1 0.0105028 90 80 2.1
"195" 20 2 4 5 "frame003593_0.jpg" 1321536683.31812 "2011111713:31:23.318" 2.1743 30.9134 127.729 6505.4755 2245.3854 -2.05994 -2.45544 1.33 0 0.559692 25.9161 1 0.0105028 90 80 2.2
"196" 21 2 4 0 "frame003601_0.jpg" 1321536687.12808 "2011111713:31:27.128" 2.18945 30.9301 127.806 6505.4735 2245.3806 -1.35132 -1.24146 1.334 0 0.453979 25.9161 1 0.0105028 90 80 2.2
"197" 22 2 4 6 "frame003609_0.jpg" 1321536690.51815 "2011111713:31:30.518" 2.19421 30.9653 127.915 6505.4718 2245.3765 -0.895386 -1.74133 1.312 0 0.442932 25.9161 1 0.0105028 90 80 2.2
"198" 23 2 4 3 "frame003623_0.jpg" 1321536697.27826 "2011111713:31:37.278" 2.23906 31.0401 128.146 6505.4684 2245.3685 -3.42224 -2.41699 1.325 0 0.459473 25.9161 1 0.0105028 90 80 2.2
"199" 24 2 4 1 "frame003791_0.jpg" 1321536775.21814 "2011111713:32:55.218" 2.22541 34.6201 130.394 6505.4297 2245.276 -2.2522 -2.59827 1.323 0 0.339844 25.9161 1 0.0105028 90 80 2.2
"200" 25 2 4 2 "frame003799_0.jpg" 1321536779.02825 "2011111713:32:59.028" 2.14623 34.6721 129.883 6505.4279 2245.2715 -0.340576 -2.03247 1.26 0 0.375061 25.9161 1 0.0105028 90 80 2.1
"201" 1 3 1 2 "frame003928_0.jpg" 1321538839.6781 "2011111714:07:19.678" 2.16294 32.8417 332.255 6505.3918 2245.4891 -1.3623 2.70264 1.361 0 0.398071 25.9161 1 0.0105028 90 80 2.2
"202" 2 3 1 4 "frame003935_0.jpg" 1321538843.00802 "2011111714:07:23.008" 1.9159 32.8505 331.92 6505.3936 2245.4933 -0.115356 -0.703125 1.352 0 0.363403 25.9161 1 0.0105028 90 80 1.9
"203" 3 3 1 2 "frame003942_0.jpg" 1321538846.34796 "2011111714:07:26.347" 1.92655 32.7177 327.685 6505.3952 2245.4968 -0.230713 -6.13586 1.366 0 0.309875 25.9161 1 0.0105028 90 80 1.9
"204" 4 3 1 0 "frame003945_0.jpg" 1321538847.61804 "2011111714:07:27.618" 1.93759 32.6263 328.448 6505.396 2245.499 0.411987 0.241699 1.342 0 0.303772 25.9161 1 0.0105028 90 80 1.9
"205" 5 3 1 1 "frame003961_0.jpg" 1321538854.78814 "2011111714:07:34.788" 1.98245 32.4895 331.063 6505.3998 2245.5078 1.16455 1.18103 1.358 0 0.398071 25.9161 1 0.0105028 90 80 2
"206" 6 3 1 1 "frame003990_0.jpg" 1321538868.28805 "2011111714:07:48.288" 1.9321 31.9522 328.657 6505.4071 2245.5247 0.769043 -2.34009 1.4 0 0.398071 25.9161 1 0.0105028 90 80 1.9
"207" 7 3 1 3 "frame003995_0.jpg" 1321538870.37808 "2011111714:07:50.378" 2.0171 31.8873 328.915 6505.4082 2245.5274 0.0823975 1.54907 1.357 0 0.363403 25.9161 1 0.0105028 90 80 2
"208" 8 3 1 2 "frame004001_0.jpg" 1321538873.32794 "2011111714:07:53.327" 2.09345 31.9352 331.129 6505.4097 2245.5313 -0.31311 -0.670166 1.4 0 0.569885 25.9161 1 0.0105028 90 80 2.1
"209" 9 3 1 6 "frame004007_0.jpg" 1321538877.16083 "2011111714:07:57.160" 1.94119 31.9397 328.761 6505.4111 2245.5346 -1.07666 -4.76257 1.341 0 0.48114 25.9161 1 0.0105028 90 80 1.9
"210" 10 3 1 2 "frame004027_0.jpg" 1321538885.19819 "2011111714:08:05.198" 1.97442 31.67 329.821 6505.416 2245.5462 0.609741 0.065918 1.267 0 0.351685 25.9161 1 0.0105028 90 80 2
"211" 11 3 1 9 "frame004045_0.jpg" 1321538893.66809 "2011111714:08:13.668" 1.93773 31.5485 330.837 6505.4203 2245.5566 0.0549316 0.565796 1.292 0 0.409424 25.9161 1 0.0105028 90 80 1.9
"212" 12 3 1 1 "frame004065_0.jpg" 1321538902.87814 "2011111714:08:22.878" 2.08263 31.3531 332.754 6505.4251 2245.5684 0.285645 -0.664673 1.32 0 0.392334 25.9161 1 0.0105028 90 80 2.1
"213" 13 3 1 1 "frame004071_0.jpg" 1321538905.39792 "2011111714:08:25.397" 1.96526 31.3635 329.777 6505.4264 2245.5714 -0.192261 -1.42822 1.289 0 0.475769 25.9161 1 0.0105028 90 80 1.8
"214" 14 3 1 5 "frame004106_0.jpg" 1321538921.81824 "2011111714:08:41.818" 1.81782 30.7729 329.573 6505.4349 2245.5916 1.32935 -1.53259 1.444 0 0.807373 25.9161 1 0.0105028 90 80 1.8
"215" 15 3 1 2 "frame004177_0.jpg" 1321538954.16815 "2011111714:09:14.168" 1.87032 27.5594 330.616 6505.4524 2245.6337 2.42798 -3.2135 1.354 0 0.64386 25.9161 1 0.0105028 90 80 1.9
"216" 16 3 1 10 "frame004183_0.jpg" 1321538957.12815 "2011111714:09:17.128" 1.88937 27.4847 330.062 6505.454 2245.6374 0.406494 -1.2854 1.357 0 0.574951 25.9161 1 0.0105028 90 80 1.9
"217" 17 3 1 0 "frame004186_0.jpg" 1321538958.38814 "2011111714:09:18.388" 1.92593 27.4785 331.215 6505.4546 2245.639 2.64221 -1.96655 1.339 0 0.464905 25.9161 1 0.0105028 90 80 1.9
"218" 18 3 1 1 "frame004189_0.jpg" 1321538959.67814 "2011111714:09:19.678" 2.00847 27.423 331.034 6505.4553 2245.6406 -0.6427 -3.06519 1.317 0 0.491882 25.9161 1 0.0105028 90 80 2
"219" 19 3 1 3 "frame004197_0.jpg" 1321538963.48816 "2011111714:09:23.488" 2.0214 27.3999 330.814 6505.4573 2245.6454 -1.46667 -3.88367 1.336 0 0.437439 25.9161 1 0.0105028 90 80 2
"220" 20 3 1 1 "frame004202_0.jpg" 1321538965.59816 "2011111714:09:25.598" 2.13895 27.4076 331.188 6505.4584 2245.6482 0.439453 0.0439453 1.378 0 0.403748 25.9161 1 0.0105028 90 80 2.1
"221" 21 3 1 1 "frame004214_0.jpg" 1321538971.43845 "2011111714:09:31.438" 2.19194 27.4462 331.347 6505.4614 2245.6555 -3.14209 -3.65295 1.353 0 0.403748 25.9161 1 0.0105028 90 80 2.1
"222" 22 3 1 3 "frame004320_0.jpg" 1321539020.35821 "2011111714:10:20.358" 2.16234 28.7495 329.533 6505.4863 2245.7144 -1.99951 -1.81824 1.224 0 0.398071 25.9161 1 0.0105028 90 80 2.2
"223" 23 3 1 5 "frame004333_0.jpg" 1321539026.64812 "2011111714:10:26.648" 1.90882 28.8145 330.489 6505.4894 2245.7219 0.521851 -1.81824 1.266 0 0.653442 25.9161 1 0.0105028 90 80 1.9
"224" 24 3 1 8 "frame004359_0.jpg" 1321539038.51835 "2011111714:10:38.518" 1.87461 28.4045 329.099 6505.4953 2245.7358 -0.384521 -4.39453 1.228 0 0.695801 25.9161 1 0.0105028 90 80 1.9
"225" 25 3 1 7 "frame004364_0.jpg" 1321539041.04145 "2011111714:10:41.041" 1.86747 28.3008 329.346 6505.4962 2245.7382 0.994263 -3.16956 1.281 0 0.723389 25.9161 1 0.0105028 90 80 1.9
"226" 1 3 2 7 "frame004382_0.jpg" 1321539128.62811 "2011111714:12:08.628" 2.12393 27.9216 98.4142 6505.5041 2245.6668 -2.01599 3.75183 0.909 0 0.539185 25.9161 1 0.0105028 89 79 2.1
"227" 2 3 2 3 "frame004393_0.jpg" 1321539133.66786 "2011111714:12:13.667" 2.14216 27.9273 119.431 6505.5025 2245.6617 -1.17554 -2.51587 1.028 0 0.442932 25.9161 1 0.0105028 89 79 2.1
"228" 3 3 2 4 "frame004424_0.jpg" 1321539148.03802 "2011111714:12:28.038" 2.13415 28.1806 119.519 6505.4962 2245.6465 -1.30737 -0.390015 1.116 0 0.409424 25.9161 1 0.0105028 89 79 2.1
"229" 4 3 2 4 "frame004427_0.jpg" 1321539149.30805 "2011111714:12:29.308" 2.13253 28.1673 120.376 6505.4957 2245.6451 -1.53259 -4.021 1.139 0 0.415039 25.9161 1 0.0105028 89 79 2.1
"230" 5 3 2 2 "frame004430_0.jpg" 1321539150.57803 "2011111714:12:30.578" 2.11256 28.1439 118.717 6505.4951 2245.6437 -1.25793 -1.2085 1.135 0 0.415039 25.9161 1 0.0105028 89 79 2.1
"231" 6 3 2 2 "frame004428_0.jpg" 1321539149.73802 "2011111714:12:29.738" 2.12036 28.1647 120.2 6505.4955 2245.6446 -1.24146 -2.53784 1.12 0 0.42627 25.9161 1 0.0105028 89 79 2.1
"232" 7 3 2 5 "frame004463_0.jpg" 1321539165.79828 "2011111714:12:45.798" 1.85748 28.2496 119.421 6505.4884 2245.6282 3.05969 -2.63672 0.979 0 0.559692 25.9161 1 0.0105028 89 79 1.9
"233" 8 3 2 3 "frame004469_0.jpg" 1321539168.77804 "2011111714:12:48.778" 1.89686 28.0907 117.405 6505.4872 2245.6256 1.38977 -2.6532 0.978 0 0.554626 25.9161 1 0.0105028 89 79 1.9
"234" 9 3 2 0 "frame004478_0.jpg" 1321539172.98817 "2011111714:12:52.988" 1.9282 27.8324 117.289 6505.4854 2245.6214 0.791016 -0.461426 1.04 0 0.579956 25.9161 1 0.0105028 89 79 1.9
"235" 10 3 2 3 "frame004481_0.jpg" 1321539174.26813 "2011111714:12:54.268" 1.95 27.766 118.943 6505.4848 2245.6202 -0.164795 -2.05444 1.05 0 0.502502 25.9161 1 0.0105028 89 79 2
"236" 11 3 2 1 "frame004496_0.jpg" 1321539181.05813 "2011111714:13:01.058" 1.92462 27.5316 117.114 6505.4819 2245.6135 -0.098877 -2.83997 1.118 0 0.579956 25.9161 1 0.0105028 89 79 1.9
"237" 12 3 2 2 "frame004502_0.jpg" 1321539183.97805 "2011111714:13:03.978" 1.9128 27.457 118.954 6505.4807 2245.6104 1.08215 -2.01599 1.13 0 0.604858 25.9161 1 0.0105028 89 79 1.9
