"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"28" 3 1 2 4 "frame000288_0.jpg" 1321533417.08799 "2011111712:36:57.087" 2.16332 29.7201 132.544 6505.4891 2245.6453 -2.46643 -2.70264 1.273 0 0.718811 25.9161 1 0.0105028 90 78 2.2
"29" 4 1 2 3 "frame000303_0.jpg" 1321533423.84809 "2011111712:37:03.848" 1.97803 29.6888 132.467 6505.4859 2245.6375 -2.07092 -3.48816 1.275 0 0.745972 25.9161 1 0.0105028 90 78 2
"30" 5 1 2 4 "frame000306_0.jpg" 1321533425.12 "2011111712:37:05.120" 1.95416 29.6982 132.489 6505.4852 2245.636 1.1261 -1.33484 1.268 0 0.714233 25.9161 1 0.0105028 90 78 2
"31" 6 1 2 3 "frame000324_0.jpg" 1321533433.5582 "2011111712:37:13.558" 1.97605 29.4675 132.769 6505.4811 2245.6264 0.774536 -1.42822 1.276 0 0.759338 25.9161 1 0.0105028 90 78 2
"32" 7 1 2 2 "frame000333_0.jpg" 1321533437.76801 "2011111712:37:17.768" 1.97967 29.3306 132.703 6505.4791 2245.6215 -0.598755 -2.4884 1.301 0 0.807373 25.9161 1 0.0105028 90 78 2
"33" 8 1 2 4 "frame000336_0.jpg" 1321533439.03812 "2011111712:37:19.038" 1.98219 29.2926 132.39 6505.4785 2245.62 -0.32959 -1.6864 1.298 0 0.781372 25.9161 1 0.0105028 90 78 2
"34" 9 1 2 5 "frame000348_0.jpg" 1321533444.51803 "2011111712:37:24.518" 1.98308 29.1037 132.939 6505.4758 2245.6135 -0.148315 -0.675659 1.29 0 0.781372 25.9161 1 0.0105028 90 78 2
"35" 10 1 2 4 "frame000363_0.jpg" 1321533451.74811 "2011111712:37:31.748" 2.01715 28.8766 132.791 6505.4722 2245.605 -0.340576 -1.15906 1.302 0 0.828674 25.9161 1 0.0105028 90 78 2
"36" 11 1 2 1 "frame000387_0.jpg" 1321533462.81805 "2011111712:37:42.818" 2.15106 28.5165 133.176 6505.4666 2245.5919 -1.15906 -1.57104 1.293 0 0.785767 25.9161 1 0.0105028 90 78 2.2
"37" 12 1 2 1 "frame000390_0.jpg" 1321533464.09814 "2011111712:37:44.098" 2.18592 28.4997 133 6505.466 2245.5904 -2.97729 -2.54883 1.298 0 0.754883 25.9161 1 0.0105028 90 78 2.2
"38" 13 1 2 2 "frame000393_0.jpg" 1321533465.35802 "2011111712:37:45.358" 2.17056 28.5265 132.566 6505.4653 2245.5889 -1.61499 -2.30713 1.337 0 0.781372 25.9161 1 0.0105028 90 78 2.2
"39" 14 1 2 5 "frame000402_0.jpg" 1321533469.54899 "2011111712:37:49.548" 2.15369 28.5514 133.022 6505.4633 2245.5838 -0.950317 -0.873413 1.318 0 0.681824 25.9161 1 0.0105028 90 78 2.2
"40" 15 1 2 0 "frame000414_0.jpg" 1321533475.07818 "2011111712:37:55.078" 2.22513 28.6146 132.781 6505.4605 2245.5773 -2.19727 -3.11462 1.287 0 0.741455 25.9161 1 0.0105028 90 78 2.2
"41" 16 1 2 1 "frame000628_0.jpg" 1321533574.58808 "2011111712:39:34.588" 2.21777 34.312 133.216 6505.4127 2245.4642 -1.73584 -0.994263 1.258 0 0.215942 25.9161 1 0.0105028 90 78 2.2
"42" 17 1 2 8 "frame000664_0.jpg" 1321533591.53818 "2011111712:39:51.538" 2.21698 34.5435 133.447 6505.4046 2245.4449 -2.64221 -2.45544 1.237 0 0.2854 25.9161 1 0.0105028 90 78 2.2
"43" 18 1 2 3 "frame000667_0.jpg" 1321533592.79812 "2011111712:39:52.798" 2.1861 34.5581 133.661 6505.404 2245.4435 -1.25244 -0.285645 1.238 0 0.2854 25.9161 1 0.0105028 90 78 2.2
"44" 19 1 2 5 "frame000670_0.jpg" 1321533594.06804 "2011111712:39:54.068" 2.24157 34.5503 134.167 6505.4034 2245.4421 -3.38379 -2.32361 1.24 0 0.297668 25.9161 1 0.0105028 90 78 2.2
"45" 20 1 2 0 "frame000705_0.jpg" 1321533610.22833 "2011111712:40:10.228" 2.238 34.8807 133.667 6505.3957 2245.4239 -1.34033 -0.769043 1.27 0 0.2854 25.9161 1 0.0105028 90 78 2.2
"46" 21 1 2 3 "frame000713_0.jpg" 1321533613.97833 "2011111712:40:13.978" 2.1122 34.9363 133.914 6505.394 2245.4196 -1.18652 -1.25244 1.257 0 0.507812 25.9161 1 0.0105028 90 78 2.1
"47" 22 1 2 5 "frame000716_0.jpg" 1321533615.25806 "2011111712:40:15.258" 2.08469 34.9276 134.079 6505.3933 2245.4182 -1.75232 -2.27966 1.278 0 0.518372 25.9161 1 0.0105028 90 78 2.1
"48" 23 1 2 1 "frame000725_0.jpg" 1321533619.68825 "2011111712:40:19.688" 2.15033 34.9125 133.629 6505.3912 2245.4131 -0.571289 -2.10938 1.269 0 0.497192 25.9161 1 0.0105028 90 78 2.2
"49" 24 1 2 10 "frame000788_0.jpg" 1321533648.93843 "2011111712:40:48.938" 1.89921 34.3521 133.931 6505.3771 2245.3797 0.966797 -2.3291 1.287 0 0.599915 25.9161 1 0.0105028 90 78 1.9
"50" 25 1 2 6 "frame000760_0.jpg" 1321533636.19819 "2011111712:40:36.198" 1.91786 34.7135 133.552 6505.3835 2245.3948 1.18652 -2.71362 1.289 0 0.48114 25.9161 1 0.0105028 90 78 1.9
"51" 1 1 3 3 "frame000827_0.jpg" 1321533731.738 "2011111712:42:11.738" 2.04259 34.6327 317.254 6505.4131 2245.3738 3.41675 0.252686 1.305 0 0.415039 25.9161 1 0.0105028 89 79 2
"52" 2 1 3 4 "frame000830_0.jpg" 1321533732.99797 "2011111712:42:12.997" 2.22017 34.5148 317.37 6505.4137 2245.3752 -1.05469 -1.79077 1.258 0 0.315918 25.9161 1 0.0105028 89 79 2.2
"53" 3 1 3 1 "frame000835_0.jpg" 1321533735.12798 "2011111712:42:15.127" 2.23019 34.4911 317.122 6505.4148 2245.3777 -3.3728 -0.780029 1.281 0 0.375061 25.9161 1 0.0105028 89 79 2.2
"54" 4 1 3 1 "frame000838_0.jpg" 1321533736.81798 "2011111712:42:16.817" 2.19868 34.5132 316.826 6505.4156 2245.3796 -1.58203 -0.74707 1.314 0 0.339844 25.9161 1 0.0105028 89 79 2.2
