"survey" "transect" "frame" "framex" "px" "py" "x1" "y1" "x2" "y2" "n" "altitude" "newle"
"74" 1 1 5 "frame5.jpg" 671 223 685 224 656 220 1 2.04486 6.92
"75" 1 1 7 "frame7.jpg" 639 123 651 135 634 115 1 2.04486 6.2
"76" 1 1 8 "frame8.jpg" 663 204 652 194 667 215 1 2.04486 6.2
"77" 1 1 9 "frame9.jpg" 269 491 282 498 259 491 1 2.04486 5.95
"78" 1 1 9 "frame9.jpg" 293 231 306 233 283 226 1 2.026 5.69
"79" 1 2 17 "frame17.jpg" 414 242 421 255 410 230 1 2.23533 7.03
"80" 1 2 17 "frame17.jpg" 533 543 551 546 521 544 1 2.23533 7.99
"81" 1 2 22 "frame22.jpg" 314 314 322 303 309 323 1 2.23533 6.29
"82" 1 2 23 "frame23.jpg" 244 402 248 388 240 415 1 2.19776 7.38
"83" 1 2 24 "frame24.jpg" 319 267 332 282 312 254 1 2.19776 8.61
"84" 1 2 24 "frame24.jpg" 289 258 292 272 284 241 1 2.16332 7.89
"85" 1 2 25 "frame25.jpg" 698 333 710 323 684 346 1 2.16332 8.44
"86" 1 2 25 "frame25.jpg" 576 430 588 442 563 419 1 2.16332 8.78
"87" 1 2 25 "frame25.jpg" 502 235 496 252 505 222 1 2.16332 7.67
"88" 1 2 25 "frame25.jpg" 546 230 538 244 549 216 1 1.97803 6.76
"89" 1 2 25 "frame25.jpg" 480 194 463 188 496 199 1 1.97803 7.86
"90" 1 2 25 "frame25.jpg" 186 463 168 468 200 465 1 1.97803 7.56
"91" 1 2 4 "frame4.jpg" 506 327 490 328 517 329 1 1.95416 6.22
"92" 1 2 4 "frame4.jpg" 146 371 143 387 149 359 1 1.95416 6.69
"93" 1 2 5 "frame5.jpg" 241 405 242 418 242 389 1 1.95416 6.78
"94" 1 2 8 "frame8.jpg" 324 335 339 349 316 322 1 1.95416 8.05
"95" 1 2 8 "frame8.jpg" 544 334 532 346 552 323 1 1.97605 6.95
"96" 1 2 8 "frame8.jpg" 680 511 668 522 690 504 1 1.97605 6.62
"97" 1 2 1 "frame1.jpg" 105 499 108 489 101 509 1 1.97605 5.27
"98" 1 2 1 "frame1.jpg" 564 320 567 335 562 311 1 1.97967 5.79
"99" 1 2 10 "frame10.jpg" 383 323 398 323 374 327 1 1.97967 5.7
"100" 1 2 10 "frame10.jpg" 591 447 603 451 579 439 1 1.98219 6.45
"101" 1 2 11 "frame11.jpg" 73 163 73 181 77 151 1 1.98219 6.81
"102" 1 2 14 "frame14.jpg" 447 107 461 114 436 109 1 1.98219 5.82
"103" 1 2 16 "frame16.jpg" 699 241 711 245 683 239 1 1.98219 6.62
"104" 1 2 17 "frame17.jpg" 582 257 585 269 576 243 1 1.98308 6.39
"105" 1 2 17 "frame17.jpg" 299 210 306 225 296 200 1 1.98308 6.13
"106" 1 2 17 "frame17.jpg" 543 127 538 110 544 143 1 1.98308 7.41
"107" 1 2 17 "frame17.jpg" 564 479 559 494 563 470 1 1.98308 5.91
"108" 1 2 18 "frame18.jpg" 476 504 483 516 471 496 1 1.98308 5.76
"109" 1 2 18 "frame18.jpg" 650 232 657 219 647 242 1 2.01715 5.77
"110" 1 2 19 "frame19.jpg" 391 478 396 494 388 468 1 2.01715 6.71
"111" 1 2 19 "frame19.jpg" 545 335 539 326 546 347 1 2.01715 5.39
"112" 1 2 2 "frame2.jpg" 450 444 440 453 459 437 1 2.01715 6
"113" 1 2 21 "frame21.jpg" 414 435 399 447 422 429 1 2.15106 7.41
"114" 1 2 22 "frame22.jpg" 175 68 177 84 172 58 1 2.18592 6.36
"115" 1 2 22 "frame22.jpg" 25 445 18 460 36 435 1 2.17056 8.13
"116" 1 2 22 "frame22.jpg" 135 434 120 428 143 441 1 2.17056 6.77
"117" 1 2 24 "frame24.jpg" 447 269 444 285 451 256 1 2.15369 7.38
"118" 1 2 24 "frame24.jpg" 515 307 507 323 518 295 1 2.15369 7.46
"119" 1 2 24 "frame24.jpg" 517 351 515 337 521 362 1 2.15369 6.59
"120" 1 2 24 "frame24.jpg" 344 503 328 491 356 509 1 2.15369 8.53
"121" 1 2 24 "frame24.jpg" 651 454 651 469 647 441 1 2.15369 7.39
"122" 1 2 24 "frame24.jpg" 387 228 378 240 395 222 1 2.21777 6.34
"123" 1 2 24 "frame24.jpg" 611 251 611 263 612 240 1 2.21698 5.93
"124" 1 2 24 "frame24.jpg" 487 548 501 557 475 544 1 2.21698 7.8
"125" 1 2 3 "frame3.jpg" 88 125 101 135 75 118 1 2.21698 7.62
"126" 1 2 3 "frame3.jpg" 383 492 373 483 393 500 1 2.21698 7.04
"127" 1 2 3 "frame3.jpg" 197 442 182 443 211 442 1 2.21698 7.61
"128" 1 2 5 "frame5.jpg" 716 586 706 595 727 576 1 2.21698 7.42
"129" 1 2 5 "frame5.jpg" 298 429 283 425 306 436 1 2.21698 6.72
"130" 1 2 6 "frame6.jpg" 153 484 143 473 160 494 1 2.21698 7.15
"131" 1 2 6 "frame6.jpg" 411 574 410 586 415 563 1 2.1861 6.42
"132" 1 2 7 "frame7.jpg" 315 197 315 206 315 185 1 2.1861 5.31
"133" 1 2 9 "frame9.jpg" 619 538 627 552 611 531 1 2.1861 7.18
"134" 1 2 9 "frame9.jpg" 693 122 690 136 695 112 1 2.24157 6.12
"135" 1 2 9 "frame9.jpg" 86 491 88 504 83 479 1 2.24157 6.93
"136" 1 2 9 "frame9.jpg" 450 475 439 471 463 479 1 2.24157 6.81
"137" 1 2 9 "frame9.jpg" 644 233 653 223 637 247 1 2.24157 7.25
"138" 1 2 1 "frame1.jpg" 489 231 498 241 481 223 1 2.24157 6.47
"139" 1 2 10 "frame10.jpg" 244 207 247 194 243 217 1 2.1122 5.7
"140" 1 2 10 "frame10.jpg" 355 371 371 372 340 370 1 2.1122 7.67
"141" 1 2 12 "frame12.jpg" 137 491 144 503 129 478 1 2.1122 7.37
"142" 1 2 13 "frame13.jpg" 711 477 715 463 711 489 1 2.08469 6.64
"143" 1 2 13 "frame13.jpg" 183 35 199 34 169 36 1 2.08469 7.1
"144" 1 2 14 "frame14.jpg" 419 514 419 526 417 497 1 2.08469 7.41
"145" 1 2 14 "frame14.jpg" 642 415 641 425 640 402 1 2.08469 5.83
"146" 1 2 14 "frame14.jpg" 156 565 163 578 154 557 1 2.08469 5.92
"147" 1 2 14 "frame14.jpg" 451 218 455 230 451 206 1 2.15033 6.05
"148" 1 2 17 "frame17.jpg" 352 241 363 237 340 247 1 1.89921 5.59
"149" 1 2 17 "frame17.jpg" 579 192 567 182 590 198 1 1.89921 6.21
"150" 1 2 18 "frame18.jpg" 311 83 313 94 313 72 1 1.89921 4.74
"151" 1 2 19 "frame19.jpg" 496 247 484 241 504 254 1 1.89921 5.37
"152" 1 2 19 "frame19.jpg" 207 457 215 467 199 450 1 1.89921 5.39
"153" 1 2 19 "frame19.jpg" 560 504 575 500 550 509 1 1.89921 6.02
"154" 1 2 2 "frame2.jpg" 540 371 552 376 530 364 1 1.89921 5.74
"155" 1 2 21 "frame21.jpg" 523 60 536 69 515 51 1 1.89921 5.98
"156" 1 2 21 "frame21.jpg" 548 151 551 165 548 135 1 1.89921 6.47
"157" 1 2 22 "frame22.jpg" 240 417 228 408 249 423 1 1.89921 5.86
"158" 1 2 3 "frame3.jpg" 180 500 172 486 186 511 1 1.91786 6.65
"159" 1 2 4 "frame4.jpg" 373 239 371 252 373 224 1 1.91786 6.22
"160" 1 2 5 "frame5.jpg" 723 94 733 110 715 86 1 1.91786 6.6
"161" 1 2 6 "frame6.jpg" 206 65 206 73 205 51 1 1.91786 4.76
"162" 1 2 7 "frame7.jpg" 587 590 568 583 602 595 1 1.91786 8.36
"163" 1 2 8 "frame8.jpg" 716 384 731 372 707 389 1 1.91786 6.49
"164" 1 3 1 "frame1.jpg" 503 260 502 272 503 249 1 2.04259 5.51
"165" 1 3 10 "frame10.jpg" 58 319 58 333 56 307 1 2.04259 6.26
"166" 1 3 10 "frame10.jpg" 376 38 386 32 368 46 1 2.04259 5.3
"167" 1 3 12 "frame12.jpg" 389 237 380 228 400 247 1 2.22017 7.06
"168" 1 3 12 "frame12.jpg" 529 112 527 128 530 102 1 2.22017 6.47
"169" 1 3 14 "frame14.jpg" 159 65 148 52 166 78 1 2.22017 7.6
"170" 1 3 2 "frame2.jpg" 587 36 576 32 598 42 1 2.22017 6.12
"171" 1 3 20 "frame20.jpg" 630 346 619 336 638 357 1 2.23019 7.53
"172" 1 3 20 "frame20.jpg" 276 332 258 328 288 340 1 2.19868 8.21
"173" 1 3 21 "frame21.jpg" 237 259 254 268 224 256 1 2.21313 8.17
"174" 1 3 21 "frame21.jpg" 164 268 169 282 158 255 1 2.21313 7.36
"175" 1 3 22 "frame22.jpg" 258 242 244 243 272 243 1 2.17164 7.05
"176" 1 3 22 "frame22.jpg" 419 265 408 277 428 258 1 2.17164 6.91
"177" 1 3 23 "frame23.jpg" 295 131 296 153 295 116 1 2.17164 8.84
"178" 1 3 23 "frame23.jpg" 608 126 604 111 614 139 1 2.17164 7.27
"179" 1 3 23 "frame23.jpg" 242 477 253 487 232 466 1 2.12362 7.52
"180" 1 3 25 "frame25.jpg" 485 221 470 220 499 223 1 2.03837 6.86
"181" 1 3 25 "frame25.jpg" 451 562 464 566 439 560 1 2.03837 6.38
"182" 1 3 5 "frame5.jpg" 307 227 307 240 306 214 1 1.96346 5.9
"183" 1 3 6 "frame6.jpg" 582 565 594 578 571 557 1 1.96346 7.56
"184" 1 3 8 "frame8.jpg" 565 478 561 494 564 466 1 1.96346 6.73
"185" 1 3 9 "frame9.jpg" 558 340 546 335 569 348 1 2.08465 6.56
"186" 1 3 1 "frame1.jpg" 172 323 176 339 167 311 1 2.08465 7.12
"187" 1 3 14 "frame14.jpg" 212 546 212 531 212 559 1 2.08465 7.2
"188" 1 3 14 "frame14.jpg" 208 215 197 207 217 223 1 2.08465 6.13
"189" 1 3 14 "frame14.jpg" 611 327 625 339 602 317 1 2.07077 7.79
"190" 1 3 10 "frame10.jpg" 218 168 227 173 211 163 1 2.07077 4.58
"191" 1 3 11 "frame11.jpg" 344 90 352 99 337 82 1 2.07077 5.33
"192" 1 3 11 "frame11.jpg" 391 318 399 308 387 328 1 2.17216 5.98
"193" 1 3 12 "frame12.jpg" 444 400 460 403 434 402 1 2.17216 6.68
"194" 1 3 13 "frame13.jpg" 135 471 131 458 135 480 1 2.17216 5.93
"195" 1 3 13 "frame13.jpg" 213 486 210 474 216 495 1 2.05483 5.53
"196" 1 3 14 "frame14.jpg" 99 411 83 413 112 411 1 2.05483 7.1
"197" 1 3 14 "frame14.jpg" 429 461 432 450 424 470 1 2.05483 5.42
"198" 1 3 14 "frame14.jpg" 499 177 488 188 504 168 1 1.97591 5.76
"199" 1 3 15 "frame15.jpg" 41 151 44 138 40 163 1 1.97591 5.73
"200" 1 3 16 "frame16.jpg" 707 187 698 200 715 178 1 1.97591 6.14
"201" 1 3 16 "frame16.jpg" 388 116 401 124 379 109 1 1.97591 6.01
"202" 1 3 16 "frame16.jpg" 60 387 45 391 73 383 1 1.97591 6.9
"203" 1 3 16 "frame16.jpg" 588 107 599 116 579 100 1 1.97591 5.84
"204" 1 3 16 "frame16.jpg" 103 464 107 478 100 451 1 1.97591 6.65
"205" 1 3 18 "frame18.jpg" 579 54 577 40 578 63 1 2.16244 5.53
"206" 1 3 19 "frame19.jpg" 472 455 459 463 479 448 1 1.98521 5.93
"207" 1 3 19 "frame19.jpg" 355 235 363 248 350 226 1 1.98521 5.89
"208" 1 3 19 "frame19.jpg" 433 265 435 279 435 256 1 1.98521 5.38
"209" 1 3 19 "frame19.jpg" 548 570 554 559 545 581 1 1.98521 5.84
"210" 1 3 2 "frame2.jpg" 731 504 731 516 735 491 1 1.98521 6.16
"211" 1 3 20 "frame20.jpg" 398 150 389 139 406 158 1 2.01591 5.88
"212" 1 3 20 "frame20.jpg" 428 158 427 171 424 147 1 2.01591 5.57
"213" 1 3 20 "frame20.jpg" 732 406 739 393 726 417 1 2.01591 6.43
"214" 1 3 1 "frame1.jpg" 101 237 109 250 101 223 1 2.01591 6.48
"215" 1 3 10 "frame10.jpg" 626 312 623 298 628 326 1 2.01591 6.76
"216" 1 3 11 "frame11.jpg" 138 340 129 331 146 348 1 2.01591 5.69
"217" 1 3 13 "frame13.jpg" 235 447 243 456 227 440 1 2.12894 5.81
"218" 1 3 17 "frame17.jpg" 192 177 189 161 193 191 1 2.12894 7.23
"219" 1 3 17 "frame17.jpg" 239 245 250 253 232 239 1 2.08506 5.54
"220" 1 3 17 "frame17.jpg" 216 113 223 100 210 122 1 2.08506 6.08
"221" 1 3 17 "frame17.jpg" 346 206 356 216 337 200 1 2.08506 6
"222" 1 3 17 "frame17.jpg" 331 259 331 271 332 249 1 2.08506 5.39
"223" 1 3 17 "frame17.jpg" 215 143 229 142 206 142 1 2.06049 5.52
