"x"
"1" 7
"2" 7
"3" 7
"4" 7
"5" 7
"6" 7
"7" 7
"8" 7
"9" 7
"10" 7
"11" 7
"12" 8
"13" 8
"14" 8
"15" 8
"16" 8
"17" 8
"18" 8
"19" 8
"20" 8
"21" 8
"22" 2.3
"23" 4.5
"24" 5.2
"25" 5.4
"26" 5.9
"27" 6.1
"28" 6.2
"29" 6.4
"30" 6.6
"31" 6.7
"32" 6.7
"33" 6.7
"34" 6.7
"35" 6.8
"36" 6.8
"37" 6.9
"38" 6.9
"39" 6.9
"40" 6.9
"41" 6.9
"42" 7.1
"43" 7.1
"44" 7.1
"45" 7.1
"46" 7.1
"47" 7.1
"48" 7.1
"49" 7.1
"50" 7.1
"51" 7.2
"52" 7.2
"53" 7.2
"54" 7.2
"55" 7.2
"56" 7.2
"57" 7.2
"58" 7.2
"59" 7.3
"60" 7.3
"61" 7.3
"62" 7.3
"63" 7.3
"64" 7.3
"65" 7.3
"66" 7.4
"67" 7.4
"68" 7.4
"69" 7.4
"70" 7.4
"71" 7.4
"72" 7.4
"73" 7.4
"74" 7.4
"75" 7.4
"76" 7.5
"77" 7.5
"78" 7.5
"79" 7.5
"80" 7.5
"81" 7.5
"82" 7.5
"83" 7.5
"84" 7.6
"85" 7.6
"86" 7.6
"87" 7.6
"88" 7.6
"89" 7.6
"90" 7.6
"91" 7.6
"92" 7.7
"93" 7.7
"94" 7.7
"95" 7.7
"96" 7.7
"97" 7.8
"98" 7.8
"99" 7.8
"100" 7.9
"101" 7.9
"102" 7.9
"103" 7.9
"104" 8.2
"105" 8.2
"106" 8.5
